Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	Sial_aa_1 Spectral Count	Sial_aa_2 Spectral Count	Sial_aa_3 Spectral Count	rPAL_aa_1 Spectral Count	rPAL_aa_2 Spectral Count	rPAL_aa_3 Spectral Count	Sial_aa_1 Unique Spectral Count	Sial_aa_2 Unique Spectral Count	Sial_aa_3 Unique Spectral Count	rPAL_aa_1 Unique Spectral Count	rPAL_aa_2 Unique Spectral Count	rPAL_aa_3 Unique Spectral Count	Sial_aa_1 Total Spectral Count	Sial_aa_2 Total Spectral Count	Sial_aa_3 Total Spectral Count	rPAL_aa_1 Total Spectral Count	rPAL_aa_2 Total Spectral Count	rPAL_aa_3 Total Spectral Count	Sial_aa_1 Intensity	Sial_aa_2 Intensity	Sial_aa_3 Intensity	rPAL_aa_1 Intensity	rPAL_aa_2 Intensity	rPAL_aa_3 Intensity	Sial_aa_1 MaxLFQ Intensity	Sial_aa_2 MaxLFQ Intensity	Sial_aa_3 MaxLFQ Intensity	rPAL_aa_1 MaxLFQ Intensity	rPAL_aa_2 MaxLFQ Intensity	rPAL_aa_3 MaxLFQ Intensity	Indistinguishable Proteins
sp|Q01082|SPTB2_HUMAN	Q01082	SPTB2_HUMAN	SPTBN1	2364	Homo sapiens	1:Experimental evidence at protein level	Spectrin beta chain, non-erythrocytic 1	1.0	0.999	72	459	457	459	71	80	60	82	99	67	70	80	60	81	99	67	71	80	60	82	99	67	3041406.5	5567494.5	2842847.5	4987936.5	5530947.5	3311625.0	485600.8	523625.66	464175.44	548961.1	655158.7	463210.8	
sp|Q01085|TIAR_HUMAN	Q01085	TIAR_HUMAN	TIAL1	375	Homo sapiens	1:Experimental evidence at protein level	Nucleolysin TIAR	1.0	0.999	6	22	6	22	3	4	4	1	6	4	1	2	1	0	1	1	3	4	4	1	6	4	131140.16	201249.44	157752.84	174424.47	199408.08	83589.12	53030.137	64766.645	52702.37	58978.633	74025.83	34493.234	
sp|Q01105|SET_HUMAN	Q01105	SET_HUMAN	SET	290	Homo sapiens	1:Experimental evidence at protein level	Protein SET	1.0	0.999	5	37	2	37	5	7	3	6	12	4	0	0	0	0	2	0	5	7	3	6	12	4	220619.94	448766.75	335263.62	367057.44	1034728.2	206758.7	179469.02	182313.12	160770.45	151333.97	402063.97	86930.5	
sp|Q01130|SRSF2_HUMAN	Q01130	SRSF2_HUMAN	SRSF2	221	Homo sapiens	1:Experimental evidence at protein level	Serine/arginine-rich splicing factor 2	1.0	0.999	12	398	352	398	68	75	71	67	59	58	61	62	65	60	51	53	68	75	71	67	59	58	1.8002508E7	1.7648314E7	1.8571544E7	1.5108849E7	1.650647E7	1.6249208E7	1.0082264E7	8403941.0	8606512.0	7399177.5	7382894.5	7502529.0	
sp|Q01167|FOXK2_HUMAN	Q01167	FOXK2_HUMAN	FOXK2	660	Homo sapiens	1:Experimental evidence at protein level	Forkhead box protein K2	0.9911	0.999	3	2	2	7	1	1	0	0	0	0	1	1	0	0	0	0	1	2	2	1	1	0	28629.002	22049.846	15974.674	11788.177	8347.497	0.0	28629.002	22049.846	15974.674	11788.177	8347.497	0.0	
sp|Q01196|RUNX1_HUMAN	Q01196	RUNX1_HUMAN	RUNX1	453	Homo sapiens	1:Experimental evidence at protein level	Runt-related transcription factor 1	1.0	0.999	10	74	74	74	10	14	11	10	16	13	10	14	11	10	16	13	10	14	11	10	16	13	507068.5	560752.75	459184.22	678003.25	662897.0	560830.56	130238.94	130653.41	129816.9	159501.84	163349.78	143681.77	
sp|Q01432|AMPD3_HUMAN	Q01432	AMPD3_HUMAN	AMPD3	767	Homo sapiens	1:Experimental evidence at protein level	AMP deaminase 3	0.9902	0.9989	2	2	2	3	0	1	1	0	0	0	0	1	1	0	0	0	0	2	1	0	0	0	0.0	51856.984	34007.965	0.0	30108.365	13338.419	0.0	51856.984	34007.965	0.0	30108.365	13338.419	
sp|Q01433|AMPD2_HUMAN	Q01433	AMPD2_HUMAN	AMPD2	825	Homo sapiens	1:Experimental evidence at protein level	AMP deaminase 2	1.0	0.999	22	88	87	88	14	22	14	12	13	13	14	21	14	12	13	13	14	22	14	12	13	13	1182372.9	993566.1	693763.1	570893.7	657954.9	516630.62	177542.95	211211.12	188680.4	152914.89	182468.1	149819.25	
sp|Q01469|FABP5_HUMAN	Q01469	FABP5_HUMAN	FABP5	135	Homo sapiens	1:Experimental evidence at protein level	Fatty acid-binding protein 5	1.0	0.999	4	9	9	9	2	2	1	1	2	1	2	2	1	1	2	1	2	2	1	1	2	1	87562.125	111465.42	60569.36	71283.234	192391.56	18773.543	41374.562	73666.125	34390.508	45528.777	76824.69	177458.73	
sp|Q01518|CAP1_HUMAN	Q01518	CAP1_HUMAN	CAP1	475	Homo sapiens	1:Experimental evidence at protein level	Adenylyl cyclase-associated protein 1	1.0	0.999	6	26	26	26	6	4	3	4	8	1	6	4	3	4	8	1	6	4	3	4	8	1	138840.69	185692.8	90444.92	113125.01	400319.47	26769.277	46320.16	64069.906	38815.13	44044.8	97958.0	22331.576	
sp|Q01543|FLI1_HUMAN	Q01543	FLI1_HUMAN	FLI1	452	Homo sapiens	1:Experimental evidence at protein level	Friend leukemia integration 1 transcription factor	1.0	0.999	5	17	17	21	2	3	2	2	6	2	2	3	2	2	6	2	3	4	2	2	8	2	119521.875	127675.336	138776.77	52620.234	179810.05	90466.586	39201.844	41077.164	44121.18	36510.65	64862.707	31732.639	
sp|Q01546|K22O_HUMAN	Q01546	K22O_HUMAN	KRT76	638	Homo sapiens	1:Experimental evidence at protein level	Keratin, type II cytoskeletal 2 oral	0.9987	0.999	16	1	1	340	0	0	1	0	0	0	0	0	1	0	0	0	74	57	61	52	48	48	0.0	0.0	95660.78	0.0	55024.7	75031.43	0.0	0.0	95660.78	0.0	55024.7	75031.43	
sp|Q01581|HMCS1_HUMAN	Q01581	HMCS1_HUMAN	HMGCS1	520	Homo sapiens	1:Experimental evidence at protein level	Hydroxymethylglutaryl-CoA synthase, cytoplasmic	1.0	0.999	7	33	33	33	2	5	2	5	16	3	2	5	2	5	16	3	2	5	2	5	16	3	117095.84	81676.016	81333.42	46028.664	279341.88	47473.848	36038.035	38938.855	32836.684	29644.445	73750.08	33415.758	
sp|Q01650|LAT1_HUMAN	Q01650	LAT1_HUMAN	SLC7A5	507	Homo sapiens	1:Experimental evidence at protein level	Large neutral amino acids transporter small subunit 1	0.9999	0.999	1	4	4	4	0	0	0	0	3	1	0	0	0	0	3	1	0	0	0	0	3	1	10970.797	9379.532	26522.695	8691.326	42975.953	5225.5522	12168.628	10403.623	12952.494	9640.275	19315.252	5796.0967	
sp|Q01658|NC2B_HUMAN	Q01658	NC2B_HUMAN	DR1	176	Homo sapiens	1:Experimental evidence at protein level	Protein Dr1	0.9999	0.999	2	9	9	9	1	2	2	1	2	1	1	2	2	1	2	1	1	2	2	1	2	1	36668.332	79302.016	43441.016	51194.85	102530.63	35073.312	36668.332	53167.707	43441.016	34976.832	70632.35	35073.312	
sp|Q01780|EXOSX_HUMAN	Q01780	EXOSX_HUMAN	EXOSC10	885	Homo sapiens	1:Experimental evidence at protein level	Exosome complex component 10	1.0	0.999	28	189	189	189	26	28	28	34	31	42	26	28	28	34	31	42	26	28	28	34	31	42	1532282.0	1470430.5	1583050.8	2179648.2	2090591.0	2218088.5	150314.47	152993.98	159220.17	213892.05	210109.56	213534.56	
sp|Q01804|OTUD4_HUMAN	Q01804	OTUD4_HUMAN	OTUD4	1114	Homo sapiens	1:Experimental evidence at protein level	OTU domain-containing protein 4	0.9955	0.999	2	7	7	7	1	1	2	0	2	1	1	1	2	0	2	1	1	1	2	0	2	1	36534.086	29422.467	33481.9	0.0	41377.895	31147.09	36534.086	29422.467	33481.9	0.0	26123.85	31147.09	
sp|Q01813|PFKAP_HUMAN	Q01813	PFKAP_HUMAN	PFKP	784	Homo sapiens	1:Experimental evidence at protein level	ATP-dependent 6-phosphofructokinase, platelet type	1.0	0.999	28	209	172	209	32	33	27	32	43	42	26	27	23	26	34	36	32	33	27	32	43	42	1682852.8	1742532.2	1638535.9	1611250.5	1944100.2	1599117.1	205733.12	211594.81	197199.62	185262.92	226975.31	192054.55	
sp|Q01826|SATB1_HUMAN	Q01826	SATB1_HUMAN	SATB1	763	Homo sapiens	1:Experimental evidence at protein level	DNA-binding protein SATB1	1.0	0.9988	3	6	2	6	3	0	0	0	3	0	0	0	0	0	2	0	3	0	0	0	3	0	37344.83	44833.086	35369.926	19667.037	77277.164	44998.016	19668.445	24656.56	18515.582	24368.941	34621.77	19528.52	
sp|Q01831|XPC_HUMAN	Q01831	XPC_HUMAN	XPC	940	Homo sapiens	1:Experimental evidence at protein level	DNA repair protein complementing XP-C cells	1.0	0.999	4	10	10	10	1	2	1	1	3	2	1	2	1	1	3	2	1	2	1	1	3	2	126993.89	169129.39	87648.98	134851.3	172544.75	147592.89	70916.12	62809.48	60845.773	62683.184	63679.316	80449.01	
sp|Q01844|EWS_HUMAN	Q01844	EWS_HUMAN	EWSR1	656	Homo sapiens	1:Experimental evidence at protein level	RNA-binding protein EWS	1.0	0.999	8	99	99	99	13	17	22	15	18	14	13	17	22	15	18	14	13	17	22	15	18	14	1303070.0	1175610.2	1471097.4	1047197.0	1209041.0	955362.7	345195.34	362486.6	407500.8	313159.03	399425.03	283362.8	
sp|Q01968|OCRL_HUMAN	Q01968	OCRL_HUMAN	OCRL	901	Homo sapiens	1:Experimental evidence at protein level	Inositol polyphosphate 5-phosphatase OCRL	1.0	0.999	7	15	15	15	3	3	3	2	3	1	3	3	3	2	3	1	3	3	3	2	3	1	68981.945	66540.83	70830.02	96787.086	84137.33	38160.53	28962.39	40523.78	30062.984	27757.928	33923.387	26059.428	
sp|Q01970|PLCB3_HUMAN	Q01970	PLCB3_HUMAN	PLCB3	1234	Homo sapiens	1:Experimental evidence at protein level	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3	0.9998	0.999	3	16	16	16	3	4	1	2	2	4	3	4	1	2	2	4	3	4	1	2	2	4	1403729.9	1063192.8	1587608.0	1239571.4	1653775.0	1810698.1	1387420.6	1137983.1	1523730.2	1245607.5	1527168.5	1502338.1	
sp|Q02040|AK17A_HUMAN	Q02040	AK17A_HUMAN	AKAP17A	695	Homo sapiens	1:Experimental evidence at protein level	A-kinase anchor protein 17A	1.0	0.999	27	231	231	231	35	44	30	44	38	40	35	44	30	44	38	40	35	44	30	44	38	40	2257908.2	2353597.2	2045160.1	2352248.8	2445447.8	2158978.5	244260.72	247239.1	224169.44	255472.36	245253.0	239027.78	
sp|Q02086|SP2_HUMAN	Q02086	SP2_HUMAN	SP2	613	Homo sapiens	1:Experimental evidence at protein level	Transcription factor Sp2	1.0	0.999	6	58	58	58	14	13	7	5	9	10	14	13	7	5	9	10	14	13	7	5	9	10	413797.06	494829.75	392758.38	396706.5	458641.3	412648.66	159701.62	159408.66	148881.25	140058.12	174778.92	146808.73	
sp|Q02218|ODO1_HUMAN	Q02218	ODO1_HUMAN	OGDH	1023	Homo sapiens	1:Experimental evidence at protein level	2-oxoglutarate dehydrogenase complex component E1	1.0	0.999	6	29	27	29	5	7	5	6	4	2	4	7	5	6	3	2	5	7	5	6	4	2	162973.97	124872.984	114853.805	121634.5	185995.14	113920.38	50477.25	42980.777	40139.332	42198.883	46001.652	40177.72	
sp|Q02224|CENPE_HUMAN	Q02224	CENPE_HUMAN	CENPE	2701	Homo sapiens	1:Experimental evidence at protein level	Centromere-associated protein E	1.0	0.9987	5	9	9	9	3	1	1	2	1	1	3	1	1	2	1	1	3	1	1	2	1	1	83727.875	72180.53	23741.082	97676.83	47175.28	78266.164	71420.07	31813.877	19110.521	58573.043	17373.135	49008.504	
sp|Q02241|KIF23_HUMAN	Q02241	KIF23_HUMAN	KIF23	960	Homo sapiens	1:Experimental evidence at protein level	Kinesin-like protein KIF23	1.0	0.999	22	194	194	194	29	33	35	27	33	37	29	33	35	27	33	37	29	33	35	27	33	37	1484459.5	1520509.4	1690826.5	1407858.1	1414095.8	1535410.0	209377.0	210415.67	226529.9	201016.2	188444.12	204690.98	
sp|Q02338|BDH_HUMAN	Q02338	BDH_HUMAN	BDH1	343	Homo sapiens	1:Experimental evidence at protein level	D-beta-hydroxybutyrate dehydrogenase, mitochondrial	0.9555	0.9989	1	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0.0	0.0	0.0	27524.055	44448.59	0.0	0.0	0.0	0.0	27524.055	44448.59	0.0	
sp|Q02413|DSG1_HUMAN	Q02413	DSG1_HUMAN	DSG1	1049	Homo sapiens	1:Experimental evidence at protein level	Desmoglein-1	1.0	0.999	15	136	136	136	28	23	17	22	18	28	28	23	17	22	18	28	28	23	17	22	18	28	2046377.6	1965471.5	2148875.0	1306803.4	848810.3	1975522.0	546101.6	553618.25	450030.5	432160.2	359755.88	462346.66	
sp|Q02446|SP4_HUMAN	Q02446	SP4_HUMAN	SP4	784	Homo sapiens	1:Experimental evidence at protein level	Transcription factor Sp4	0.957	0.999	1	8	8	8	1	3	3	0	1	0	1	3	3	0	1	0	1	3	3	0	1	0	0.0	42574.652	22356.092	17842.898	33573.754	15557.033	0.0	42574.652	22356.092	17842.898	33573.754	15557.033	
sp|Q02447|SP3_HUMAN	Q02447	SP3_HUMAN	SP3	781	Homo sapiens	1:Experimental evidence at protein level	Transcription factor Sp3	0.9577	0.999	1	3	3	3	2	0	0	1	0	0	2	0	0	1	0	0	2	0	0	1	0	0	35764.3	27408.258	30685.0	32388.79	31810.912	0.0	35764.3	27408.258	30685.0	32388.79	31810.912	0.0	
sp|Q02543|RL18A_HUMAN	Q02543	RL18A_HUMAN	RPL18A	176	Homo sapiens	1:Experimental evidence at protein level	Large ribosomal subunit protein eL20	1.0	0.999	9	123	123	123	15	21	21	25	18	23	15	21	21	25	18	23	15	21	21	25	18	23	1155969.8	802499.94	706392.4	1224923.2	1048002.3	1063257.9	275511.1	233309.11	201993.58	327200.06	259366.55	278036.5	
sp|Q02750|MP2K1_HUMAN	Q02750	MP2K1_HUMAN	MAP2K1	393	Homo sapiens	1:Experimental evidence at protein level	Dual specificity mitogen-activated protein kinase kinase 1	0.9744	0.9971	2	4	4	5	1	0	1	1	1	0	1	0	1	1	1	0	1	0	1	1	2	0	16058.147	16237.012	8147.271	13897.181	26451.686	10994.223	16058.147	16237.012	8147.271	13897.181	26451.686	10994.223	
sp|Q02790|FKBP4_HUMAN	Q02790	FKBP4_HUMAN	FKBP4	459	Homo sapiens	1:Experimental evidence at protein level	Peptidyl-prolyl cis-trans isomerase FKBP4	1.0	0.999	21	111	111	111	17	21	14	14	41	4	17	21	14	14	41	4	17	21	14	14	41	4	817951.06	971153.8	773648.6	740578.0	2135023.8	280307.88	184189.06	186643.0	144018.89	149249.17	334689.4	73736.16	
sp|Q02809|PLOD1_HUMAN	Q02809	PLOD1_HUMAN	PLOD1	727	Homo sapiens	1:Experimental evidence at protein level	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1	1.0	0.999	23	120	119	120	17	22	28	19	18	16	17	22	27	19	18	16	17	22	28	19	18	16	1082167.5	1290072.8	1431351.4	965360.06	1118666.0	857024.3	183695.0	203490.34	217576.11	154861.95	154659.05	162307.5	
sp|Q02878|RL6_HUMAN	Q02878	RL6_HUMAN	RPL6	288	Homo sapiens	1:Experimental evidence at protein level	Large ribosomal subunit protein eL6	1.0	0.999	25	501	501	501	73	78	77	97	79	97	73	78	77	97	79	97	73	78	77	97	79	97	5331296.0	6362517.5	5468037.5	8401715.0	7200084.5	7587933.0	1270613.8	1202568.0	1118097.0	1661086.4	1441292.1	1547646.9	
sp|Q02880|TOP2B_HUMAN	Q02880	TOP2B_HUMAN	TOP2B	1626	Homo sapiens	1:Experimental evidence at protein level	DNA topoisomerase 2-beta	1.0	0.999	83	771	601	771	127	124	110	135	121	154	98	98	84	104	92	125	127	124	110	135	121	154	8829654.0	1.0559719E7	8920587.0	1.0298735E7	1.087465E7	1.1906056E7	1192033.0	1252443.4	1259309.6	1309514.8	1187847.2	1387339.5	
sp|Q02978|M2OM_HUMAN	Q02978	M2OM_HUMAN	SLC25A11	314	Homo sapiens	1:Experimental evidence at protein level	Mitochondrial 2-oxoglutarate/malate carrier protein	1.0	0.999	5	39	39	39	7	8	8	3	5	8	7	8	8	3	5	8	7	8	8	3	5	8	291346.66	284949.66	308198.78	283764.72	280517.62	259713.38	196556.83	213270.89	202837.3	181597.92	199404.1	199085.75	
sp|Q03001|DYST_HUMAN	Q03001	DYST_HUMAN	DST	7570	Homo sapiens	1:Experimental evidence at protein level	Dystonin	1.0	0.999	21	31	31	73	8	5	5	7	3	3	8	5	5	7	3	3	13	15	10	16	10	9	210158.88	157043.92	170300.92	214707.72	106122.09	96812.18	58355.06	44911.99	55605.12	54344.734	28751.65	45251.97	
sp|Q03111|ENL_HUMAN	Q03111	ENL_HUMAN	MLLT1	559	Homo sapiens	1:Experimental evidence at protein level	Protein ENL	1.0	0.999	9	48	48	48	9	9	5	6	7	12	9	9	5	6	7	12	9	9	5	6	7	12	1730082.1	2456494.5	1974949.2	2159614.2	1424266.1	326471.6	1185312.0	1065459.4	947492.5	1408590.4	844554.44	1041973.5	
sp|Q03113|GNA12_HUMAN	Q03113	GNA12_HUMAN	GNA12	381	Homo sapiens	1:Experimental evidence at protein level	Guanine nucleotide-binding protein subunit alpha-12	1.0	0.999	5	21	21	28	3	6	4	3	3	2	3	6	4	3	3	2	4	7	5	4	5	3	136470.97	131314.11	143669.39	78040.27	67129.44	77678.59	45613.242	54034.18	49921.34	34118.36	27319.787	31368.33	
sp|Q03164|KMT2A_HUMAN	Q03164	KMT2A_HUMAN	KMT2A	3969	Homo sapiens	1:Experimental evidence at protein level	Histone-lysine N-methyltransferase 2A	1.0	0.999	23	116	116	116	25	21	21	19	12	18	25	21	21	19	12	18	25	21	21	19	12	18	451174.1	451482.16	477572.4	505561.1	480882.2	480567.0	59291.77	62573.414	58875.97	60992.184	54669.97	55116.805	
sp|Q03188|CENPC_HUMAN	Q03188	CENPC_HUMAN	CENPC	943	Homo sapiens	1:Experimental evidence at protein level	Centromere protein C	0.9999	0.999	4	5	5	5	0	2	0	2	1	0	0	2	0	2	1	0	0	2	0	2	1	0	41002.203	71674.19	50585.273	25453.041	45968.12	17661.51	22774.863	28110.084	27380.754	25446.23	25257.71	22002.408	
sp|Q03252|LMNB2_HUMAN	Q03252	LMNB2_HUMAN	LMNB2	620	Homo sapiens	1:Experimental evidence at protein level	Lamin-B2	1.0	0.999	32	162	162	211	25	27	28	24	37	21	25	27	28	24	37	21	36	37	33	31	45	29	1243336.8	1111499.2	1305467.0	1602775.5	1961734.0	1346460.2	219852.33	213025.73	226738.4	224193.86	291765.7	177312.1	
sp|Q03426|KIME_HUMAN	Q03426	KIME_HUMAN	MVK	396	Homo sapiens	1:Experimental evidence at protein level	Mevalonate kinase	0.9548	0.9989	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	16582.676	13463.178	13363.956	20965.268	17556.373	10525.423	16582.676	13463.178	13363.956	20965.268	17556.373	10525.423	
sp|Q03468|ERCC6_HUMAN	Q03468	ERCC6_HUMAN	ERCC6	1493	Homo sapiens	1:Experimental evidence at protein level	DNA excision repair protein ERCC-6	1.0	0.999	21	105	79	105	16	20	16	16	21	16	12	14	13	13	16	11	16	20	16	16	21	16	836330.1	874907.0	759819.06	855772.56	911140.0	733460.4	110731.85	113978.9	111195.016	105779.44	107111.65	102420.28	
sp|Q03519|TAP2_HUMAN	Q03519	TAP2_HUMAN	TAP2	686	Homo sapiens	1:Experimental evidence at protein level	Antigen peptide transporter 2	0.9357	0.9984	1	2	2	2	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	2	0	0.0	0.0	6927.183	0.0	27548.443	8044.668	0.0	0.0	6927.183	0.0	27548.443	8044.668	
sp|Q03701|CEBPZ_HUMAN	Q03701	CEBPZ_HUMAN	CEBPZ	1054	Homo sapiens	1:Experimental evidence at protein level	CCAAT/enhancer-binding protein zeta	1.0	0.999	12	39	39	39	5	3	6	9	6	10	5	3	6	9	6	10	5	3	6	9	6	10	236164.62	234954.8	263175.47	190469.39	195760.25	271685.22	83467.48	72738.234	81582.86	72658.85	69993.44	98231.08	
sp|Q04206|TF65_HUMAN	Q04206	TF65_HUMAN	RELA	551	Homo sapiens	1:Experimental evidence at protein level	Transcription factor p65	0.9911	0.999	2	2	2	2	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	20672.693	5207.9253	21362.193	26335.18	48303.383	0.0	20672.693	0.0	21362.193	26335.18	48303.383	0.0	
sp|Q04323|UBXN1_HUMAN	Q04323	UBXN1_HUMAN	UBXN1	297	Homo sapiens	1:Experimental evidence at protein level	UBX domain-containing protein 1	1.0	0.999	6	53	53	53	11	7	10	5	11	9	11	7	10	5	11	9	11	7	10	5	11	9	266268.78	251531.48	262008.98	222084.45	358098.5	180143.67	125132.695	110968.914	115215.516	105065.91	156833.45	85219.37	
sp|Q04446|GLGB_HUMAN	Q04446	GLGB_HUMAN	GBE1	702	Homo sapiens	1:Experimental evidence at protein level	1,4-alpha-glucan-branching enzyme	1.0	0.999	7	35	35	35	4	7	5	5	11	3	4	7	5	5	11	3	4	7	5	5	11	3	330881.94	288348.94	306032.34	266856.6	626277.75	162189.61	97870.555	73688.375	79589.36	78550.39	167851.84	46341.008	
sp|Q04637|IF4G1_HUMAN	Q04637	IF4G1_HUMAN	EIF4G1	1599	Homo sapiens	1:Experimental evidence at protein level	Eukaryotic translation initiation factor 4 gamma 1	1.0	0.999	42	268	241	268	35	41	38	52	46	56	31	37	35	46	41	51	35	41	38	52	46	56	2123893.8	2569192.0	2273691.8	3025984.8	3458954.8	3035947.8	268561.22	274466.1	267025.53	335648.47	348141.1	330059.88	
sp|Q04695|K1C17_HUMAN	Q04695	K1C17_HUMAN	KRT17	432	Homo sapiens	1:Experimental evidence at protein level	Keratin, type I cytoskeletal 17	1.0	0.999	34	137	117	475	20	26	30	22	20	19	18	22	26	17	18	16	82	89	84	75	69	76	2047586.6	2148792.2	2408261.2	1830933.2	1592555.0	2106584.5	325920.12	347625.38	380583.62	298041.16	264212.3	339219.94	
sp|Q04759|KPCT_HUMAN	Q04759	KPCT_HUMAN	PRKCQ	706	Homo sapiens	1:Experimental evidence at protein level	Protein kinase C theta type	1.0	0.999	4	16	16	16	3	3	3	2	2	3	3	3	3	2	2	3	3	3	3	2	2	3	137053.72	70012.49	72381.79	61494.36	74107.945	76944.55	53583.53	64296.043	63271.65	63617.793	64562.02	69857.79	
sp|Q04760|LGUL_HUMAN	Q04760	LGUL_HUMAN	GLO1	184	Homo sapiens	1:Experimental evidence at protein level	Lactoylglutathione lyase	0.9994	0.9988	2	3	3	3	0	1	0	0	2	0	0	1	0	0	2	0	0	1	0	0	2	0	20518.46	47251.08	0.0	21473.389	60770.285	0.0	20518.46	47251.08	0.0	21473.389	44262.25	0.0	
sp|Q04837|SSBP_HUMAN	Q04837	SSBP_HUMAN	SSBP1	148	Homo sapiens	1:Experimental evidence at protein level	Single-stranded DNA-binding protein, mitochondrial	1.0	0.999	7	46	46	46	6	7	9	7	7	10	6	7	9	7	7	10	6	7	9	7	7	10	302029.2	473296.22	482894.3	612759.0	510683.72	809658.2	189517.69	189365.75	169084.55	198517.86	225441.1	231006.81	
sp|Q04912|RON_HUMAN	Q04912	RON_HUMAN	MST1R	1400	Homo sapiens	1:Experimental evidence at protein level	Macrophage-stimulating protein receptor	0.7977	0.9943	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	42906.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q04917|1433F_HUMAN	Q04917	1433F_HUMAN	YWHAH	246	Homo sapiens	1:Experimental evidence at protein level	14-3-3 protein eta	0.9999	0.999	7	14	14	36	1	2	1	5	2	3	1	2	1	5	2	3	5	7	3	7	9	5	56970.094	77972.04	51743.363	71326.336	124555.45	62813.242	56970.094	50244.17	51743.363	45981.734	80281.58	40057.258	
sp|Q04941|PLP2_HUMAN	Q04941	PLP2_HUMAN	PLP2	152	Homo sapiens	1:Experimental evidence at protein level	Proteolipid protein 2	0.9576	0.999	1	2	2	2	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0.0	0.0	0.0	28442.662	41986.81	0.0	0.0	0.0	0.0	28442.662	41986.81	0.0	
sp|Q05048|CSTF1_HUMAN	Q05048	CSTF1_HUMAN	CSTF1	431	Homo sapiens	1:Experimental evidence at protein level	Cleavage stimulation factor subunit 1	1.0	0.999	8	42	42	42	7	8	8	6	7	6	7	8	8	6	7	6	7	8	8	6	7	6	317647.75	325901.1	301636.0	283592.25	300588.34	236355.81	72210.836	67876.61	67572.66	57860.766	72866.51	57154.555	
sp|Q05086|UBE3A_HUMAN	Q05086	UBE3A_HUMAN	UBE3A	875	Homo sapiens	1:Experimental evidence at protein level	Ubiquitin-protein ligase E3A	0.9099	0.9978	1	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0.0	0.0	6534.375	16629.277	10109.819	0.0	0.0	0.0	6534.375	16629.277	10109.819	0.0	
sp|Q05397|FAK1_HUMAN	Q05397	FAK1_HUMAN	PTK2	1052	Homo sapiens	1:Experimental evidence at protein level	Focal adhesion kinase 1	1.0	0.999	13	68	67	68	6	18	9	11	11	13	6	18	9	11	10	13	6	18	9	11	11	13	329597.34	393909.22	405136.97	403113.12	334874.62	377332.22	105503.484	120073.42	124542.555	101458.62	113714.36	101340.87	
sp|Q05519|SRS11_HUMAN	Q05519	SRS11_HUMAN	SRSF11	484	Homo sapiens	1:Experimental evidence at protein level	Serine/arginine-rich splicing factor 11	1.0	0.999	20	520	520	520	75	74	84	71	107	109	75	74	84	71	107	109	75	74	84	71	107	109	8360807.0	1.0781111E7	1.01925E7	9567046.0	1.4437871E7	1.2347434E7	3095339.2	3191050.5	3098638.5	2979413.5	3314295.8	3739397.2	
sp|Q06124|PTN11_HUMAN	Q06124	PTN11_HUMAN	PTPN11	593	Homo sapiens	1:Experimental evidence at protein level	Tyrosine-protein phosphatase non-receptor type 11	1.0	0.999	6	10	10	10	1	0	1	2	4	2	1	0	1	2	4	2	1	0	1	2	4	2	7062480.0	9174813.0	9536787.0	691124.75	1416696.6	1127936.5	3488845.8	4362530.5	3739545.0	1611894.8	3237030.8	1680285.9	
sp|Q06203|PUR1_HUMAN	Q06203	PUR1_HUMAN	PPAT	517	Homo sapiens	1:Experimental evidence at protein level	Amidophosphoribosyltransferase	1.0	0.999	3	3	3	3	0	0	0	1	2	0	0	0	0	1	2	0	0	0	0	1	2	0	37136.0	41544.984	48936.027	27154.98	104879.086	26935.719	26909.656	21345.979	24651.44	19639.61	41034.58	14039.677	
sp|Q06210|GFPT1_HUMAN	Q06210	GFPT1_HUMAN	GFPT1	699	Homo sapiens	1:Experimental evidence at protein level	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1	1.0	0.999	7	30	27	30	4	2	7	4	5	8	4	2	7	4	3	7	4	2	7	4	5	8	187698.11	173263.25	564494.4	184335.66	910386.9	800848.94	220813.33	228124.53	211804.8	214596.17	229842.92	192461.83	
