Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	UL_1 Spectral Count	UL_2 Spectral Count	UL_3 Spectral Count	rGAL_1 Spectral Count	rGAL_2 Spectral Count	rGAL_3 Spectral Count	UL_1 Unique Spectral Count	UL_2 Unique Spectral Count	UL_3 Unique Spectral Count	rGAL_1 Unique Spectral Count	rGAL_2 Unique Spectral Count	rGAL_3 Unique Spectral Count	UL_1 Total Spectral Count	UL_2 Total Spectral Count	UL_3 Total Spectral Count	rGAL_1 Total Spectral Count	rGAL_2 Total Spectral Count	rGAL_3 Total Spectral Count	UL_1 Intensity	UL_2 Intensity	UL_3 Intensity	rGAL_1 Intensity	rGAL_2 Intensity	rGAL_3 Intensity	UL_1 MaxLFQ Intensity	UL_2 MaxLFQ Intensity	UL_3 MaxLFQ Intensity	rGAL_1 MaxLFQ Intensity	rGAL_2 MaxLFQ Intensity	rGAL_3 MaxLFQ Intensity	Indistinguishable Proteins
sp|P12035|K2C3_HUMAN	P12035	K2C3_HUMAN	KRT3	628	Homo sapiens	1:Experimental evidence at protein level	Keratin, type II cytoskeletal 3	1.0	0.9981	22	12	9	170	6	0	0	3	0	3	4	0	0	3	0	2	25	21	38	29	20	37	120675.836	0.0	0.0	51909.29	0.0	102158.08	51934.074	0.0	0.0	34487.676	0.0	51935.754	
sp|P12236|ADT3_HUMAN	P12236	ADT3_HUMAN	SLC25A6	298	Homo sapiens	1:Experimental evidence at protein level	ADP/ATP translocase 3	1.0	0.9958	3	25	4	25	8	4	3	3	3	4	3	0	0	1	0	0	8	4	3	3	3	4	144186.7	111304.2	130283.46	113256.78	101034.35	71885.32	92086.47	85582.8	84714.625	74846.836	70351.09	61355.97	
sp|P12270|TPR_HUMAN	P12270	TPR_HUMAN	TPR	2363	Homo sapiens	1:Experimental evidence at protein level	Nucleoprotein TPR	1.0	0.9975	1	5	5	5	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	14373.187	0.0	13222.6	13995.645	17156.814	17270.193	14373.187	0.0	13222.6	13995.645	17156.814	17270.193	
sp|P12273|PIP_HUMAN	P12273	PIP_HUMAN	PIP	146	Homo sapiens	1:Experimental evidence at protein level	Prolactin-inducible protein	0.9795	0.9989	1	5	5	5	1	1	2	0	1	0	1	1	2	0	1	0	1	1	2	0	1	0	35247.312	49137.965	47711.36	0.0	19186.564	0.0	35247.312	49137.965	47711.36	0.0	19186.564	0.0	
sp|P12956|XRCC6_HUMAN	P12956	XRCC6_HUMAN	XRCC6	609	Homo sapiens	1:Experimental evidence at protein level	DNA repair protein Ku70	0.9691	0.9983	1	5	5	5	0	0	1	1	1	2	0	0	1	1	1	2	0	0	1	1	1	2	0.0	0.0	21041.697	25878.516	28550.527	19591.594	0.0	0.0	21041.697	25878.516	28550.527	19591.594	
sp|P13010|XRCC5_HUMAN	P13010	XRCC5_HUMAN	XRCC5	732	Homo sapiens	1:Experimental evidence at protein level	DNA repair protein Ku80	0.8761	0.9926	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0.0	0.0	0.0	0.0	0.0	15857.88	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P13473|LAMP2_HUMAN	P13473	LAMP2_HUMAN	LAMP2	410	Homo sapiens	1:Experimental evidence at protein level	Lysosome-associated membrane glycoprotein 2	0.7947	0.9865	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0.0	0.0	0.0	0.0	0.0	4820.6025	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P13639|EF2_HUMAN	P13639	EF2_HUMAN	EEF2	858	Homo sapiens	1:Experimental evidence at protein level	Elongation factor 2	1.0	0.999	7	33	33	33	9	2	5	4	4	9	9	2	5	4	4	9	9	2	5	4	4	9	228716.47	75459.68	143010.78	105487.664	102442.77	219920.4	76862.93	50607.465	69370.64	71571.75	53695.363	79153.234	
sp|P13645|K1C10_HUMAN	P13645	K1C10_HUMAN	KRT10	584	Homo sapiens	1:Experimental evidence at protein level	Keratin, type I cytoskeletal 10	1.0	0.999	35	1519	1151	1519	266	227	322	200	238	266	195	171	222	161	187	215	266	227	322	200	238	266	3.355293E7	3.9058388E7	4.1054168E7	3.3127298E7	3.3312374E7	3.3499798E7	3754475.5	3831518.0	4856603.5	3864782.8	4405145.5	4152747.2	
sp|P13646|K1C13_HUMAN	P13646	K1C13_HUMAN	KRT13	458	Homo sapiens	1:Experimental evidence at protein level	Keratin, type I cytoskeletal 13	1.0	0.999	21	91	55	193	14	10	16	17	2	32	9	3	10	11	0	22	31	23	45	29	18	47	702043.44	396479.56	779396.4	980385.4	49683.953	1375785.0	155929.84	97875.734	152882.84	217259.0	30393.56	275787.03	
sp|P13647|K2C5_HUMAN	P13647	K2C5_HUMAN	KRT5	590	Homo sapiens	1:Experimental evidence at protein level	Keratin, type II cytoskeletal 5	1.0	0.999	39	358	260	484	45	69	73	51	60	60	32	49	52	40	45	42	63	86	103	69	78	85	3337313.0	5134363.5	5072447.0	4014079.0	4396941.5	4179376.0	745143.94	1004528.5	1021294.25	855857.2	919592.25	872172.44	
sp|P13804|ETFA_HUMAN	P13804	ETFA_HUMAN	ETFA	333	Homo sapiens	1:Experimental evidence at protein level	Electron transfer flavoprotein subunit alpha, mitochondrial	0.9957	0.9986	1	14	14	14	0	1	2	2	4	5	0	1	2	2	4	5	0	1	2	2	4	5	0.0	18385.934	9241.759	21745.725	48915.41	28503.521	0.0	18385.934	9241.759	21745.725	48915.41	28503.521	
sp|P14618|KPYM_HUMAN	P14618	KPYM_HUMAN	PKM	531	Homo sapiens	1:Experimental evidence at protein level	Pyruvate kinase PKM	0.5353	0.956	1	2	2	2	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	10248.092	0.0	0.0	0.0	0.0	10609.642	10248.092	0.0	0.0	0.0	0.0	10609.642	
sp|P14868|SYDC_HUMAN	P14868	SYDC_HUMAN	DARS1	501	Homo sapiens	1:Experimental evidence at protein level	Aspartate--tRNA ligase, cytoplasmic	1.0	0.999	14	69	69	69	14	8	8	9	10	20	14	8	8	9	10	20	14	8	8	9	10	20	491565.5	387381.38	325307.56	434479.94	423367.12	561410.5	97112.15	107257.016	90802.94	110386.69	104537.3	97223.8	
sp|P14923|PLAK_HUMAN	P14923	PLAK_HUMAN	JUP	745	Homo sapiens	1:Experimental evidence at protein level	Junction plakoglobin	1.0	0.999	10	75	75	75	13	13	16	9	11	13	13	13	16	9	11	13	13	13	16	9	11	13	194069.62	302427.5	334066.56	122238.336	162556.66	144538.31	42067.355	71023.5	69641.08	42531.484	33112.145	35909.035	
sp|P15144|AMPN_HUMAN	P15144	AMPN_HUMAN	ANPEP	967	Homo sapiens	1:Experimental evidence at protein level	Aminopeptidase N	0.7687	0.9843	1	2	2	2	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0.0	176325.98	187558.84	0.0	224003.9	230335.7	0.0	176325.98	187558.84	0.0	224003.9	230335.7	
sp|P15880|RS2_HUMAN	P15880	RS2_HUMAN	RPS2	293	Homo sapiens	1:Experimental evidence at protein level	Small ribosomal subunit protein uS5	0.9905	0.9973	1	2	2	2	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	2	0.0	0.0	0.0	0.0	0.0	31083.271	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P15924|DESP_HUMAN	P15924	DESP_HUMAN	DSP	2871	Homo sapiens	1:Experimental evidence at protein level	Desmoplakin	1.0	0.999	31	136	136	136	27	22	36	12	14	25	27	22	36	12	14	25	27	22	36	12	14	25	563360.06	628577.2	1073218.8	406915.53	417660.25	490551.06	78649.02	94940.51	111842.72	71015.516	79697.38	67464.54	
sp|P16401|H15_HUMAN	P16401	H15_HUMAN	H1-5	226	Homo sapiens	1:Experimental evidence at protein level	Histone H1.5	1.0	0.999	10	102	92	102	14	12	17	19	18	22	13	11	12	18	17	21	14	12	17	19	18	22	1264928.6	840531.06	1297982.0	1411035.2	1559504.2	1852503.2	595031.2	461325.56	650994.2	826597.1	776431.94	882968.0	
sp|P16402|H13_HUMAN	P16402	H13_HUMAN	H1-3	221	Homo sapiens	1:Experimental evidence at protein level	Histone H1.3	1.0	0.999	10	68	46	106	7	7	12	10	17	15	4	6	8	5	11	12	11	9	22	17	27	20	868276.7	527051.06	731279.9	978376.44	1260683.2	1272272.5	622123.8	392450.12	601190.06	874763.94	879931.25	822563.4	
sp|P16403|H12_HUMAN	P16403	H12_HUMAN	H1-2	213	Homo sapiens	1:Experimental evidence at protein level	Histone H1.2	1.0	0.999	11	37	37	97	7	6	10	5	5	4	7	6	10	5	5	4	14	9	24	17	21	12	397655.16	247845.34	296258.3	190079.08	392616.7	189247.38	397655.16	247845.34	286207.06	190079.08	295457.1	128335.28	
sp|P17096|HMGA1_HUMAN	P17096	HMGA1_HUMAN	HMGA1	107	Homo sapiens	1:Experimental evidence at protein level	High mobility group protein HMG-I/HMG-Y	0.9168	0.9952	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0.0	0.0	0.0	0.0	0.0	6554.022	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P17480|UBF1_HUMAN	P17480	UBF1_HUMAN	UBTF	764	Homo sapiens	1:Experimental evidence at protein level	Nucleolar transcription factor 1	1.0	0.999	14	57	57	57	12	8	11	3	11	12	12	8	11	3	11	12	12	8	11	3	11	12	284164.72	292018.84	308316.22	178931.23	307211.6	323371.16	58486.426	68458.77	60478.82	72803.68	60998.71	51525.875	
sp|P17844|DDX5_HUMAN	P17844	DDX5_HUMAN	DDX5	614	Homo sapiens	1:Experimental evidence at protein level	Probable ATP-dependent RNA helicase DDX5	1.0	0.999	7	36	22	36	9	7	5	4	4	7	6	3	4	2	3	4	9	7	5	4	4	7	166929.17	103495.49	106790.17	186103.38	150761.23	108390.61	49986.34	49605.297	53340.316	63239.277	65386.44	48935.46	
sp|P17987|TCPA_HUMAN	P17987	TCPA_HUMAN	TCP1	556	Homo sapiens	1:Experimental evidence at protein level	T-complex protein 1 subunit alpha	1.0	0.9972	2	6	6	6	2	0	0	1	2	1	2	0	0	1	2	1	2	0	0	1	2	1	30302.2	0.0	0.0	21729.213	13241.676	12394.71	16167.274	0.0	0.0	21234.088	15560.431	12112.282	
sp|P18124|RL7_HUMAN	P18124	RL7_HUMAN	RPL7	248	Homo sapiens	1:Experimental evidence at protein level	Large ribosomal subunit protein uL30	1.0	0.9989	3	14	14	14	4	2	4	1	1	2	4	2	4	1	1	2	4	2	4	1	1	2	95901.7	62479.516	73206.625	50881.08	47435.72	75457.01	49858.348	43728.535	41729.918	50881.08	47435.72	51741.625	
sp|P18583|SON_HUMAN	P18583	SON_HUMAN	SON	2426	Homo sapiens	1:Experimental evidence at protein level	Protein SON	1.0	0.9956	3	14	14	14	2	1	3	2	2	4	2	1	3	2	2	4	2	1	3	2	2	4	83790.05	0.0	113294.234	90954.305	132146.1	153777.6	48978.023	0.0	66271.7	92176.65	77357.96	78940.805	
sp|P18621|RL17_HUMAN	P18621	RL17_HUMAN	RPL17	184	Homo sapiens	1:Experimental evidence at protein level	Large ribosomal subunit protein uL22	1.0	0.999	6	30	30	30	4	5	3	3	4	11	4	5	3	3	4	11	4	5	3	3	4	11	78748.336	74883.67	73391.445	115902.06	147482.1	232106.2	49606.473	39346.906	46776.5	60873.223	54522.418	73529.22	
sp|P19012|K1C15_HUMAN	P19012	K1C15_HUMAN	KRT15	456	Homo sapiens	1:Experimental evidence at protein level	Keratin, type I cytoskeletal 15	1.0	0.9773	14	3	3	171	1	0	0	0	1	1	1	0	0	0	1	1	30	24	51	18	19	29	19598.918	0.0	0.0	0.0	0.0	15763.039	19598.918	0.0	0.0	0.0	0.0	15763.039	
sp|P19013|K2C4_HUMAN	P19013	K2C4_HUMAN	KRT4	520	Homo sapiens	1:Experimental evidence at protein level	Keratin, type II cytoskeletal 4	1.0	0.999	18	55	41	149	6	8	11	9	1	20	4	8	9	7	1	12	26	22	34	22	11	34	95302.05	81250.01	304319.53	342069.44	1062.733	451011.44	27253.01	47455.957	41428.504	61751.613	9331.036	49697.895	
sp|P19338|NUCL_HUMAN	P19338	NUCL_HUMAN	NCL	710	Homo sapiens	1:Experimental evidence at protein level	Nucleolin	1.0	0.999	4	7	7	7	0	0	1	0	0	6	0	0	1	0	0	6	0	0	1	0	0	6	0.0	0.0	19145.896	0.0	0.0	66276.53	0.0	0.0	19145.896	0.0	0.0	19986.781	
sp|P19388|RPAB1_HUMAN	P19388	RPAB1_HUMAN	POLR2E	210	Homo sapiens	1:Experimental evidence at protein level	DNA-directed RNA polymerases I, II, and III subunit RPABC1	0.9982	0.9816	2	10	10	10	3	1	2	2	1	1	3	1	2	2	1	1	3	1	2	2	1	1	69089.03	34139.93	33430.87	36901.453	42049.44	34139.945	39564.59	34139.93	33430.87	36901.453	42049.44	34139.945	
sp|P20042|IF2B_HUMAN	P20042	IF2B_HUMAN	EIF2S2	333	Homo sapiens	1:Experimental evidence at protein level	Eukaryotic translation initiation factor 2 subunit 2	1.0	0.999	9	81	81	81	8	9	8	19	16	21	8	9	8	19	16	21	8	9	8	19	16	21	506837.34	197419.16	266344.5	684371.94	780148.56	647631.2	167148.08	168733.66	199896.64	237761.64	247799.77	222327.55	
sp|P20700|LMNB1_HUMAN	P20700	LMNB1_HUMAN	LMNB1	586	Homo sapiens	1:Experimental evidence at protein level	Lamin-B1	1.0	0.997	3	5	5	7	3	0	0	0	1	1	3	0	0	0	1	1	4	1	0	0	1	1	33823.9	0.0	0.0	0.0	19545.326	16023.292	15766.655	0.0	0.0	0.0	21864.219	17924.324	
sp|P20930|FILA_HUMAN	P20930	FILA_HUMAN	FLG	4061	Homo sapiens	1:Experimental evidence at protein level	Filaggrin	1.0	0.9976	3	15	15	15	1	4	5	1	1	3	1	4	5	1	1	3	1	4	5	1	1	3	30493.266	94553.164	141188.44	22195.812	42009.63	93073.04	31485.084	44598.918	71940.14	22917.748	43376.027	38645.19	
sp|P21333|FLNA_HUMAN	P21333	FLNA_HUMAN	FLNA	2647	Homo sapiens	1:Experimental evidence at protein level	Filamin-A	1.0	0.999	3	18	18	18	4	2	1	3	5	3	4	2	1	3	5	3	4	2	1	3	5	3	36068.402	36286.754	28855.873	33519.496	61537.523	44944.957	36068.402	36286.754	28855.873	33519.496	34795.164	39206.6	
sp|P22087|FBRL_HUMAN	P22087	FBRL_HUMAN	FBL	321	Homo sapiens	1:Experimental evidence at protein level	rRNA 2'-O-methyltransferase fibrillarin	1.0	0.999	2	11	1	11	1	3	2	2	1	2	0	0	0	0	0	1	1	3	2	2	1	2	28564.945	44474.86	38165.883	52703.15	47771.39	75761.625	28564.945	44474.86	38165.883	52703.15	47771.39	47921.49	
sp|P22234|PUR6_HUMAN	P22234	PUR6_HUMAN	PAICS	425	Homo sapiens	1:Experimental evidence at protein level	Bifunctional phosphoribosylaminoimidazole carboxylase/phosphoribosylaminoimidazole succinocarboxamide synthetase	0.887	0.9933	1	2	2	2	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	2	0.0	0.0	0.0	0.0	0.0	8058.9404	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P22626|ROA2_HUMAN	P22626	ROA2_HUMAN	HNRNPA2B1	353	Homo sapiens	1:Experimental evidence at protein level	Heterogeneous nuclear ribonucleoproteins A2/B1	1.0	0.999	4	20	20	20	4	1	6	2	3	4	4	1	6	2	3	4	4	1	6	2	3	4	69982.79	30872.475	73116.484	42022.05	58022.918	52550.24	35519.805	30872.475	31601.057	29686.018	35238.633	32795.918	
sp|P22735|TGM1_HUMAN	P22735	TGM1_HUMAN	TGM1	817	Homo sapiens	1:Experimental evidence at protein level	Protein-glutamine gamma-glutamyltransferase K	1.0	0.999	5	32	32	32	3	6	7	3	8	5	3	6	7	3	8	5	3	6	7	3	8	5	154242.67	202166.08	199113.03	115848.086	212147.9	181418.7	91616.5	108432.56	96351.21	82907.56	97846.95	95973.414	
sp|P23025|XPA_HUMAN	P23025	XPA_HUMAN	XPA	273	Homo sapiens	1:Experimental evidence at protein level	DNA repair protein complementing XP-A cells	0.9812	0.999	1	6	6	6	1	0	0	2	0	3	1	0	0	2	0	3	1	0	0	2	0	3	10761.351	0.0	0.0	16116.42	0.0	12840.284	10761.351	0.0	0.0	16116.42	0.0	12840.284	
sp|P23280|CAH6_HUMAN	P23280	CAH6_HUMAN	CA6	308	Homo sapiens	1:Experimental evidence at protein level	Carbonic anhydrase 6	0.9779	0.9988	1	4	4	4	0	0	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	4	0.0	0.0	0.0	0.0	0.0	20901.96	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P23284|PPIB_HUMAN	P23284	PPIB_HUMAN	PPIB	216	Homo sapiens	1:Experimental evidence at protein level	Peptidyl-prolyl cis-trans isomerase B	0.9999	0.9938	2	6	6	6	1	0	0	2	1	2	1	0	0	2	1	2	1	0	0	2	1	2	20970.426	0.0	0.0	28909.812	29325.201	42075.527	20970.426	0.0	0.0	28909.812	29325.201	25572.24	
sp|P23396|RS3_HUMAN	P23396	RS3_HUMAN	RPS3	243	Homo sapiens	1:Experimental evidence at protein level	Small ribosomal subunit protein uS3	1.0	0.9989	4	25	25	25	3	5	3	5	4	5	3	5	3	5	4	5	3	5	3	5	4	5	62648.793	151297.23	112144.09	112432.88	179964.69	168608.72	41557.293	74296.57	76753.4	66650.94	87647.71	74933.28	
sp|P23526|SAHH_HUMAN	P23526	SAHH_HUMAN	AHCY	432	Homo sapiens	1:Experimental evidence at protein level	Adenosylhomocysteinase	0.7859	0.9858	1	2	2	2	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	9931.589	0.0	8796.632	0.0	0.0	0.0	9931.589	0.0	8796.632	0.0	0.0	0.0	
sp|P24534|EF1B_HUMAN	P24534	EF1B_HUMAN	EEF1B2	225	Homo sapiens	1:Experimental evidence at protein level	Elongation factor 1-beta	0.9652	0.9981	1	2	2	2	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0.0	0.0	19325.715	0.0	0.0	21112.666	0.0	0.0	19325.715	0.0	0.0	21112.666	
sp|P25205|MCM3_HUMAN	P25205	MCM3_HUMAN	MCM3	808	Homo sapiens	1:Experimental evidence at protein level	DNA replication licensing factor MCM3	1.0	0.999	4	18	18	18	5	1	1	2	4	5	5	1	1	2	4	5	5	1	1	2	4	5	118788.39	71016.05	75788.82	154446.38	121600.46	154145.67	68416.45	71016.05	75788.82	124877.58	102235.43	82418.16	
sp|P25311|ZA2G_HUMAN	P25311	ZA2G_HUMAN	AZGP1	298	Homo sapiens	1:Experimental evidence at protein level	Zinc-alpha-2-glycoprotein	0.9106	0.9948	1	5	5	5	2	1	0	1	0	1	2	1	0	1	0	1	2	1	0	1	0	1	34621.293	32372.549	0.0	28723.564	0.0	23528.363	34621.293	32372.549	0.0	28723.564	0.0	23528.363	
sp|P25398|RS12_HUMAN	P25398	RS12_HUMAN	RPS12	132	Homo sapiens	1:Experimental evidence at protein level	Small ribosomal subunit protein eS12	0.9814	0.999	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0.0	0.0	0.0	0.0	0.0	14852.817	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P25490|TYY1_HUMAN	P25490	TYY1_HUMAN	YY1	414	Homo sapiens	1:Experimental evidence at protein level	Transcriptional repressor protein YY1	0.7505	0.9827	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0.0	0.0	0.0	0.0	2537.4128	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P25705|ATPA_HUMAN	P25705	ATPA_HUMAN	ATP5F1A	553	Homo sapiens	1:Experimental evidence at protein level	ATP synthase F(1) complex subunit alpha, mitochondrial	1.0	0.9988	5	26	26	26	3	3	5	7	3	5	3	3	5	7	3	5	3	3	5	7	3	5	81114.64	87906.78	117307.42	152818.39	86813.88	53561.918	60477.453	42745.11	48595.227	45989.95	65726.99	36341.164	
sp|P25788|PSA3_HUMAN	P25788	PSA3_HUMAN	PSMA3	255	Homo sapiens	1:Experimental evidence at protein level	Proteasome subunit alpha type-3	0.9815	0.999	1	10	10	10	1	1	2	2	3	1	1	1	2	2	3	1	1	1	2	2	3	1	63252.11	78208.27	76637.07	53745.57	43837.375	42736.875	63252.11	78208.27	76637.07	53745.57	43837.375	42736.875	
sp|P26038|MOES_HUMAN	P26038	MOES_HUMAN	MSN	577	Homo sapiens	1:Experimental evidence at protein level	Moesin	1.0	0.999	6	43	22	43	8	8	5	8	6	8	5	5	3	4	1	4	8	8	5	8	6	8	193156.14	168727.5	2404927.5	171383.69	590664.0	891538.06	224891.08	173205.6	234607.56	203657.55	180520.83	200649.66	
sp|P26373|RL13_HUMAN	P26373	RL13_HUMAN	RPL13	211	Homo sapiens	1:Experimental evidence at protein level	Large ribosomal subunit protein eL13	1.0	0.9987	9	44	44	44	3	11	9	6	4	11	3	11	9	6	4	11	3	11	9	6	4	11	244647.8	251313.75	244586.5	262962.47	163966.6	437155.84	127409.99	142403.81	120049.664	130089.75	92340.016	123107.33	
sp|P26640|SYVC_HUMAN	P26640	SYVC_HUMAN	VARS1	1264	Homo sapiens	1:Experimental evidence at protein level	Valine--tRNA ligase	1.0	0.999	2	15	15	15	3	1	3	3	3	2	3	1	3	3	3	2	3	1	3	3	3	2	78544.22	38537.902	52248.582	39257.273	36201.55	56707.812	61051.14	38537.902	40759.812	39257.273	36201.55	44011.84	
sp|P26641|EF1G_HUMAN	P26641	EF1G_HUMAN	EEF1G	437	Homo sapiens	1:Experimental evidence at protein level	Elongation factor 1-gamma	0.9813	0.999	1	21	21	21	4	3	4	4	3	3	4	3	4	4	3	3	4	3	4	4	3	3	427993.3	279041.53	314645.28	356812.25	274534.8	348819.62	427993.3	279041.53	314645.28	356812.25	274534.8	348819.62	
sp|P27105|STOM_HUMAN	P27105	STOM_HUMAN	STOM	288	Homo sapiens	1:Experimental evidence at protein level	Stomatin	1.0	0.9986	1	11	11	11	1	2	1	1	3	3	1	2	1	1	3	3	1	2	1	1	3	3	0.0	32290.295	33497.348	0.0	38021.07	32406.904	0.0	32290.295	33497.348	0.0	38021.07	23086.525	
sp|P27348|1433T_HUMAN	P27348	1433T_HUMAN	YWHAQ	245	Homo sapiens	1:Experimental evidence at protein level	14-3-3 protein theta	0.9769	0.9987	1	2	2	2	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	11213.309	0.0	0.0	0.0	0.0	10890.118	11213.309	0.0	0.0	0.0	0.0	10890.118	
sp|P27482|CALL3_HUMAN	P27482	CALL3_HUMAN	CALML3	149	Homo sapiens	1:Experimental evidence at protein level	Calmodulin-like protein 3	0.9997	0.9988	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0.0	0.0	0.0	0.0	0.0	21922.824	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P27635|RL10_HUMAN	P27635	RL10_HUMAN	RPL10	214	Homo sapiens	1:Experimental evidence at protein level	Large ribosomal subunit protein uL16	1.0	0.9989	5	12	5	12	2	0	2	1	0	7	0	0	0	0	0	5	2	0	2	1	0	7	20703.098	0.0	9652.5	20438.873	0.0	79855.98	9545.328	0.0	14518.366	0.0	0.0	0.0	
sp|P27694|RFA1_HUMAN	P27694	RFA1_HUMAN	RPA1	616	Homo sapiens	1:Experimental evidence at protein level	Replication protein A 70 kDa DNA-binding subunit	1.0	0.9862	2	4	4	4	0	0	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	4	0.0	0.0	0.0	0.0	0.0	30299.027	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P27824|CALX_HUMAN	P27824	CALX_HUMAN	CANX	592	Homo sapiens	1:Experimental evidence at protein level	Calnexin	0.9546	0.9975	1	6	6	6	1	1	1	0	1	2	1	1	1	0	1	2	1	1	1	0	1	2	46241.457	33003.285	34830.81	0.0	23646.209	46027.086	46241.457	33003.285	34830.81	0.0	23646.209	46027.086	
sp|P28070|PSB4_HUMAN	P28070	PSB4_HUMAN	PSMB4	264	Homo sapiens	1:Experimental evidence at protein level	Proteasome subunit beta type-4	0.8403	0.99	1	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0.0	0.0	20261.203	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P28072|PSB6_HUMAN	P28072	PSB6_HUMAN	PSMB6	239	Homo sapiens	1:Experimental evidence at protein level	Proteasome subunit beta type-6	0.9588	0.9977	1	9	9	9	1	1	1	2	2	2	1	1	1	2	2	2	1	1	1	2	2	2	14494.996	32772.465	0.0	26090.012	28664.373	26211.725	14494.996	32772.465	0.0	26090.012	28664.373	26211.725	
sp|P29508|SPB3_HUMAN	P29508	SPB3_HUMAN	SERPINB3	390	Homo sapiens	1:Experimental evidence at protein level	Serpin B3	1.0	0.9982	6	21	6	21	2	3	5	2	2	7	0	0	2	0	0	4	2	3	5	2	2	7	91459.19	120951.77	70311.55	121599.336	81335.41	186752.12	51024.05	65486.3	0.0	67846.055	44932.71	71151.25	
sp|P29692|EF1D_HUMAN	P29692	EF1D_HUMAN	EEF1D	281	Homo sapiens	1:Experimental evidence at protein level	Elongation factor 1-delta	0.9998	0.9968	2	10	10	10	1	1	2	2	2	2	1	1	2	2	2	2	1	1	2	2	2	2	48448.33	29055.148	79162.24	50295.734	70995.984	62564.06	48448.33	29055.148	40174.43	50295.734	70995.984	62564.06	
sp|P30041|PRDX6_HUMAN	P30041	PRDX6_HUMAN	PRDX6	224	Homo sapiens	1:Experimental evidence at protein level	Peroxiredoxin-6	0.8523	0.9909	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0.0	0.0	0.0	0.0	0.0	12403.785	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P31146|COR1A_HUMAN	P31146	COR1A_HUMAN	CORO1A	461	Homo sapiens	1:Experimental evidence at protein level	Coronin-1A	0.8772	0.9926	1	4	4	4	1	0	0	0	2	1	1	0	0	0	2	1	1	0	0	0	2	1	7291.984	0.0	0.0	0.0	6311.6597	7371.9287	7291.984	0.0	0.0	0.0	6311.6597	7371.9287	
sp|P31151|S10A7_HUMAN	P31151	S10A7_HUMAN	S100A7	101	Homo sapiens	1:Experimental evidence at protein level	Protein S100-A7	0.9998	0.9942	2	4	2	4	2	0	2	0	0	0	1	0	1	0	0	0	2	0	2	0	0	0	34372.89	0.0	40495.68	0.0	0.0	0.0	21036.662	0.0	24917.576	0.0	0.0	0.0	
sp|P31327|CPSM_HUMAN	P31327	CPSM_HUMAN	CPS1	1500	Homo sapiens	1:Experimental evidence at protein level	Carbamoyl-phosphate synthase [ammonia], mitochondrial	0.9932	0.9458	1	2	2	2	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0.0	0.0	35881.19	38200.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P31943|HNRH1_HUMAN	P31943	HNRH1_HUMAN	HNRNPH1	449	Homo sapiens	1:Experimental evidence at protein level	Heterogeneous nuclear ribonucleoprotein H	1.0	0.999	5	48	2	48	8	12	5	10	5	8	0	0	0	0	0	2	8	12	5	10	5	8	117389.95	141030.83	48968.844	88442.86	101213.44	133006.95	49369.754	44222.312	31227.855	37999.305	47033.11	32538.127	
